"player_name","birthday"
"Hugo Fraile Martín","1987-03-16"
"Florian Hübner","1991-03-01"
"Matt Hedges","1990-04-01"
"Paulo Sérgio Mota","1991-07-13"
"Leonel Di Plácido","1994-01-28"
"Julio César González Trinidad","1992-06-28"
"Bruno Vendaza","1981-03-05"
"Denis César de Matos","1987-04-14"
"Eren Albayrak","1991-04-23"
"Reinhold Ranftl","1992-01-24"
"Papa Alioune N'Diaye","1990-10-27"
"Emanuele Giaccherini","1985-05-05"
"Birger Solberg Meling","1994-12-17"
"Fabiano Elton Sonta Pessoa","1992-02-29"
"Rifat Zhemaletdinov","1996-09-20"
"Harrison Afful","1986-06-24"
"Mitchell Dijks","1993-02-09"
"Christopher Ikonomidis","1995-05-04"
"Lukáš Hejda","1990-03-09"
"Andrés Felipe Ibargüen García","1992-05-07"
"Filip Krovinović","1995-08-29"
"Alexander Mühling","1992-09-05"
"Antonio Barreca","1995-03-18"
"Dersan Jaime Dinis Abravanel","1992-02-29"
"Lucas Ariel Villarruel","1990-11-13"
"Ailton Jonas Valpaços Salazar","1992-02-29"
"Samuel Grandsir","1996-08-14"
"Stefano Sabelli","1993-01-13"
"Taulant Ragip Xhaka","1991-03-28"
"Tim Kleindienst","1995-08-31"
"José Javier Abella Fanjul","1994-02-10"
"Luis Jesús Pérez Maqueda","1995-02-04"
"Sherman Andrés Cárdenas Estupiñán","1989-08-07"
"Alberto Paloschi","1990-01-04"
"Leopold Zingerle","1994-04-10"
"Mário Jorge Malico Paulino","1986-11-10"
"Denis Alibec","1991-01-05"
"Bartosz Bereszyński","1992-07-12"
"Jacson João Zonta Filho","1996-02-29"
"Alexis Nahuel Soto","1993-10-20"
"Kristof D'Haene","1990-06-06"
"David Pavelka","1991-05-18"
"Moisés Lima Magalhães","1988-03-17"
"Bongani Zungu","1992-10-09"
"Munir Mohand Mohamedi","1989-05-10"
"仲川 輝人","1992-07-27"
"Enzo Hernán Díaz","1995-12-07"
"Edwin Andrés Cardona Bedoya","1992-12-08"
"Moryké Fofana","1991-11-23"
"Charlie Austin","1989-07-05"
"Trent Lucas Sainsbury","1992-01-05"
"Juan Carlos Paredes Reasco","1987-07-08"
"Aitor García Flores","1994-03-25"
"Edgar Miguel Ié","1994-05-01"
"Valeri Qazaishvili","1993-01-29"
"Sebastian Griesbeck","1990-10-03"
"Joris van Overeem","1994-06-01"
"Marcos Nikolas Bolados Hidalgo","1996-02-27"
"Firmin Ndombe Mubele","1994-04-17"
"Andrés Eliseo Chávez","1991-03-21"
"Sílvio Manuel de Azevedo Ferreira Sá Pereira","1987-09-28"
"Mathias Jensen","1996-01-01"
"Sebastián Emanuel Moyano","1990-08-26"
"Diego Alfonso Valdés Contreras","1994-01-30"
"Joe Lewis","1987-10-06"
"Iddrisu Baba Mohammed","1996-01-22"
"Ibrahima Seck","1989-08-10"
"Hélton Luiz Celanova Vieira","1992-02-29"
"Ali Gholizadeh","1996-03-10"
"Sandro Manoel dos Santos","1988-07-23"
"Federico Ricci","1994-05-27"
"Bojan Krkić Pérez","1990-08-28"
"Russell Canouse","1995-06-11"
"Maarten Stekelenburg","1982-09-22"
"André Hoffmann","1993-02-28"
"Jean Evrard Kouassi","1994-09-25"
"Jonathan Gradit","1992-11-24"
"Tomás Pochettino","1996-02-01"
"Jorge Emmanuel Torres Nilo","1988-01-16"
"Federico Barba","1993-09-01"
"Helibelton Palacios Zapata","1993-06-11"
"Gérson Fábio Noalha Rochela","1992-02-29"
"Fredrik Ulvestad","1992-06-17"
"Alexander Büttner","1989-02-11"
"Niklas Hult","1990-02-13"
"Matheus Jadson Vidigal Morais","1992-02-29"
"Bradley Scott Jones","1982-03-19"
"Josip Drmić","1992-08-08"
"Olarenwaju Ayoba Kayode","1993-05-08"
"Darwin Zamir Andrade Marmolejo","1991-02-11"
"Emanuel Mariano Insúa Zapata","1991-04-10"
"Damián Alberto Martínez","1990-01-31"
"Dino Hotić","1995-07-26"
"Chadrac Akolo","1995-04-01"
"Guzmán Corujo Bríccola","1996-02-08"
"Dominik Kaiser","1988-09-16"
"Cristiano da Silva","1987-01-12"
"Kevin Möhwald","1993-07-03"
"David Mackalister Silva Mosquera","1986-12-13"
"Luciano Narsingh","1990-09-13"
"Jacek Góralski","1992-09-21"
"Lévy Koffi Djidji","1992-11-30"
"Kevin Vázquez Comesaña","1993-03-23"
"Carlos Daniel López Huesca","1990-06-12"
"Luis Robles","1984-05-11"
"Volkan Babacan","1988-08-11"
"Simon Gustafson","1995-01-11"
"武藤 嘉紀","1992-07-15"
"Graeme Shinnie","1991-08-04"
"Khouma El Hadji Babacar","1993-03-17"
"Lukas Klünter","1996-05-26"
"Sebastián César Helios Ribas Barbato","1988-03-11"
"Matías Nicolás Caruzzo","1984-08-15"
"Filipe Miguel Neves Ferreira","1990-09-09"
"Antonio-Mirko Čolak","1993-09-17"
"Joakim Nilsson","1994-02-06"
"Rafael Czichos","1990-05-14"
"Paul Nicolás Aguilar Rojas","1986-03-06"
"Cheick Doukouré","1992-09-11"
"Fernando Zuqui","1991-11-27"
"Ziya Erdal","1988-01-05"
"Guto Ramón Milazar Coimbra","1992-02-29"
"Alex Smithies","1990-03-05"
"Mattias Johansson","1992-02-16"
"Alexandru Iulian Maxim","1990-07-08"
"Federico Eduardo Lértora","1990-07-05"
"Andrea Rispoli","1988-09-29"
"Ulises Alejandro Dávila Plascencia","1991-04-13"
"Milton Joel Caraglio","1988-12-01"
"Josecarlos Van Rankin Galland","1993-05-14"
"Luke Anthony Freeman","1992-03-22"
"Daniel Jiménez López","1990-03-05"
"Adeilson Daniel Gesser Esser","1992-02-29"
"Thomas Monconduit","1991-02-10"
"Racine Coly","1995-12-08"
"Christian Mathenia","1992-03-31"
"Anastasios Bakasetas","1993-06-28"
"Mattia Bani","1993-12-10"
"Alfredo Morales","1990-05-12"
"Connor Roberts","1995-09-23"
"Walace Souza Silva","1995-04-04"
"John Obi Mikel","1987-04-22"
"João Fabrício Bruinheira Salvador","1988-02-29"
"Ethan Pinnock","1993-05-29"
"Bruno Eduardo Regufe Alves","1981-11-27"
"Loïs Diony","1992-12-20"
"Artur Jędrzejczyk","1987-11-04"
"Maxime Chanot","1990-01-21"
"Alfonso Cristián Parot Rojas","1989-10-15"
"Álvaro García Rivera","1992-10-27"
"Pedro Bigas Rigo","1990-09-15"
"Johan Leandro Arango Ambuila","1991-02-05"
"Christian Chimino","1988-02-09"
"Kauã Ricardo Abranches Simões","1996-02-29"
"João Paulo Mior","1991-03-08"
"José Manuel Rodríguez Benito","1992-03-03"
"Nicolás Santiago Bertolo","1986-01-02"
"Danijel Aleksić","1991-04-30"
"Kristoffer Nordfeldt","1989-06-23"
"Elvis Yohan Perlaza Lara","1989-03-07"
"Hugo Adryan Rubiães Chaves","1996-02-29"
"Brian Guillermo Montenegro Benítez","1993-06-10"
"Jagoš Vuković","1988-06-10"
"Rachid Alioui","1992-06-18"
"Johan Dahlin","1986-09-08"
"Joseph Oluwaseyi Temitope Ayodele-Aribo","1996-07-21"
"Taxiarchis Fountas","1995-09-04"
"Wesley Saïd","1995-04-19"
"Sascha Burchert","1989-10-30"
"Nélson Macedo Monte","1995-07-30"
"Ondřej Čelůstka","1989-06-18"
"Enner Remberto Valencia Lastra","1989-11-04"
"Alfredo Ariel Aguilar","1988-07-18"
"Luis Carlos Correia Pinto","1985-05-05"
"Jakob Johansson","1990-06-21"
"Andrey Semenov","1989-03-24"
"Lourency do Nascimento Rodrigues","1996-01-02"
"Jonás Ramalho Chimeno","1993-06-10"
"Thomas Murg","1994-11-14"
"Juan Edgardo Ramírez","1993-05-25"
"Souleymane Bamba","1985-01-13"
"Ricky van Wolfswinkel","1989-01-27"
"Fernando Luis Aristeguieta de Luca","1992-04-09"
"José Artur de Lima Junior","1996-03-11"
"Evandro Sérgio Rochedo Paulino","1996-02-29"
"Rafael Wihby Bracali","1981-05-05"
"Tomáš Koubek","1992-08-26"
"홍정호 洪正好","1989-08-12"
"Joe Allen","1990-03-14"
"Gustavo Campanharo","1992-04-04"
"Darnell Fisher","1994-04-04"
"Christian Raoul Kouamé Koffi","1990-12-21"
"Nicolás Ignacio Castillo Mora","1993-02-14"
"Leonardo Fabián Burián Castro","1984-01-21"
"Birger Danny Verstraete","1994-04-16"
"Ibrahima M'baye","1994-11-19"
"Simone Scuffet","1996-05-31"
"Amaral Alves Marcos Vinicius","1994-06-16"
"Jacopo Sala","1991-12-05"
"Alejandro José Muñoz Miguel","1994-07-30"
"Santiago André da Bruma Reis","1996-02-29"
"Jesús Enrique Sánchez García","1989-08-31"
"Denys Bain","1993-07-02"
"Kévin N'Doram","1996-01-22"
"André Felipe Ribeiro de Souza","1990-09-27"
"Ciprian Ioan Deac","1986-02-16"
"Braian José Samudio Segovia","1995-12-23"
"David Timor Copoví","1989-10-17"
"Mats Møller Dæhli","1995-03-02"
"Maxime Poundjé","1992-08-16"
"Fredy Hinestroza Arias","1990-04-05"
"Roger Beyker Martínez Tobinson","1994-06-23"
"André Hahn","1990-08-13"
"Stefano Sturaro","1993-03-09"
"Marlon Santos da Silva Barbosa","1995-09-07"
"Juan Torres Ruiz","1989-11-26"
"Kenny McLean","1992-01-08"
"Carlos Joel Salcedo Hernández","1993-09-29"
"Jorge Luis Rojas Meza","1993-01-07"
"Moritz Leitner","1992-12-08"
"Filippo Falco","1992-02-11"
"Lucas Hernán Villalba","1994-08-19"
"Matej Mitrović","1993-11-10"
"Phil Jagielka","1982-08-17"
"Joevin Jones","1991-08-03"
"Connor Lambert Goldson","1992-12-18"
"Larrys Mabiala Destin","1987-10-08"
"Rúben Alexandre Rocha Lima","1989-10-03"
"Fábio Rafael Rodrigues Cardoso","1994-04-19"
"Leonardo Felipe Valencia Rossel","1991-04-25"
"Artem Shabanov","1992-03-07"
"Richard Hernán Schunke","1991-11-26"
"Cauê Cecilio da Silva","1989-05-24"
"Gastón Brugman","1992-09-07"
"Paul Ebere Onuachu","1994-05-28"
"Antonio Jesús Regal Angulo","1987-12-24"
"Carlo Pinsoglio","1990-03-16"
"Fabrice N'Sakala","1990-07-21"
"Igor Rossi Branco","1989-03-10"
"Florian Sotoca","1990-10-25"
"Romain Amalfitano","1989-08-27"
"Tom Trybull","1993-03-09"
"Renato Civelli","1983-10-14"
"Bryan Pelé","1992-03-25"
"Lukáš Štetina","1991-07-28"
"Alan Pulido Izaguirre","1991-03-08"
"Stefan Marius Johansen","1991-01-08"
"Carlos Armando Gruezo Arboleda","1995-04-19"
"Eirik Hestad","1995-06-26"
"Marcel Hartel","1996-01-19"
"Marvin Ducksch","1994-03-07"
"Ulisses Alexandre Garcia Lopes","1996-01-11"
"Javier Galán Gil","1994-11-19"
"Alberto Bueno Calvo","1988-03-20"
"Cristian Gabriel Rodríguez Barrotti","1985-09-30"
"Sebastian Prödl","1987-06-21"
"Juan Carlos Martín Corral","1988-01-20"
"Manuel Riemann","1988-09-09"
"Ismaël Tiémoko Diomandé","1992-08-28"
"Juan Ferney Otero Tovar","1995-05-26"
"Aziz Behich","1990-12-16"
"Timo Letschert","1993-05-25"
"André Mikael Milazar Santoso","1996-02-29"
"Joe Ralls","1993-10-13"
"Marc Navarro Ceciliano","1995-07-02"
"Guðlaugur Victor Pálsson","1991-04-30"
"Mubarak Wakaso","1990-07-25"
"Ömer Bayram","1991-07-27"
"Sammy Bossut","1985-08-11"
"Davide Biraschi","1994-07-02"
"Ozan Tufan","1995-03-23"
"Mouctar Diakhaby","1996-12-19"
"Cédric Jan Itten","1996-12-27"
"Sten Michael Grytebust","1989-10-25"
"Abdalla Mahmoud El Said Bekhit","1985-07-13"
"Vincent Pajot","1990-08-19"
"Peter Svarrer Ankersen","1990-09-22"
"Daniel Eduardo Bocanegra Ortíz","1987-04-23"
"Yamil Rodrigo Asad","1994-07-27"
"Joshua Risdon","1992-07-27"
"Callum Robinson","1995-02-02"
"Deni Milošević","1995-03-09"
"Federico Andrés Mancuello","1989-03-26"
"Glenn Bijl","1995-07-13"
"Marc Rzatkowski","1990-03-02"
"大島 僚太","1993-01-23"
"Stefano Denswil","1993-05-07"
"Cláudio Falcão Santos","1994-07-03"
"Lucas Martín Villafáñez","1991-10-04"
"Sandro César Cordovil de Lima","1990-10-28"
"Nahki Wells","1990-06-01"
"Alexander Domínguez Carabalí","1987-06-05"
"Makhete Diop","1987-07-08"
"Rodrigo Salinas Dorantes","1988-05-09"
"Oscar Hiljemark","1992-06-28"
"Cristian Emanuel Bălgrădean","1988-03-21"
"Ayron Del Valle Rodríguez","1989-01-27"
"Valentín Vada","1996-03-06"
"Ravel Morrison","1993-02-02"
"Alexis De Sart","1996-11-12"
"Antolín Alcáraz Viveros","1982-07-30"
"Antonio José Raíllo Arenas","1991-08-10"
"João Pedro Reis Amaral","1991-09-07"
"Mert Hakan Yandaş","1994-08-19"
"Patrick Bamford","1993-09-05"
"Hélder Filipe Oliveira Lopes","1989-01-04"
"Philipp Lienhart","1996-07-11"
"Matías Alejandro Ibáñez Basualdo","1986-12-16"
"Julien Ariel De Sart","1994-12-23"
"Jhonder Leonel Cádiz Fernández","1995-07-29"
"Alexander Hack","1993-09-08"
"Fredy Henkyer Montero Muñoz","1987-07-26"
"Perparim Hetemaj","1986-12-12"
"Lukas Jutkiewicz","1989-03-28"
"Michael Hector","1992-07-19"
"Chanathip Songkrasin","1993-10-05"
"Kortney Hause","1995-07-16"
"Jérôme Prior","1995-08-08"
"Petar Stojanović","1995-10-07"
"Vito Nova Wormgoor","1988-11-16"
"Mathias Autret","1991-03-01"
"Stephen Antunes Eustáquio","1996-12-21"
"Virgil Misidjan","1993-07-24"
"Romain Jules Salin","1984-07-29"
"Alexis Martín Arias","1992-07-04"
"Albert Vallci","1995-07-02"
"Rúben Diogo Francisco Freitas","1993-01-02"
"Flávio Raphael Rebeilo Mestres","1992-02-29"
"Lukas Kübler","1992-08-30"
"Aldo Paul Rocha González","1992-11-06"
"Ibrahim Sissoko","1991-11-29"
"Aleksandr Tashaev","1994-06-23"
"Roman Bezus","1990-09-26"
"Pascal Stenzel","1996-03-20"
"Ricardo José Vaz Alves Monteiro","1983-10-07"
"Henk Veerman","1991-02-26"
"Soslan Dzhanaev","1987-03-13"
"David Marshall","1985-03-05"
"Florian Tardieu","1992-04-22"
"Raúl Alberto Loaiza Morelos","1994-06-08"
"Jimmy Cabot","1994-04-18"
"Phillipp Mwene","1994-01-29"
"Benjamín Kuscevic Jaramillo","1996-05-02"
"Joaquín Marcelo Laso","1990-07-04"
"Haris Hajradinović","1994-02-18"
"Adam Hloušek","1988-12-20"
"Diego Martín Rodríguez Berrini","1989-09-04"
"Marko Tolić","1996-07-05"
"Timm Klose","1988-05-09"
"Kerim Frei Koyunlu","1993-11-19"
"Ahmed Hegazi","1991-01-25"
"Nicolas Höfler","1990-03-09"
"Jean-David Beauguel","1992-03-21"
"Cyle Larin","1995-04-17"
"Mathew Allan Leckie","1991-02-04"
"Juan Cruz Komar","1996-08-13"
"Ryan Manning","1996-06-14"
"Hannes Van Der Bruggen","1993-04-01"
"Ryan Bennett","1990-03-06"
"Bartosz Białkowski","1987-07-06"
"Tony Josimar Mutto Abrão","1996-02-29"
"Matías Aguirregaray Guruceaga","1989-04-01"
"Craig Alexander Goodwin","1991-12-16"
"Marco Höger","1989-09-16"
"Scott Bain","1991-11-22"
"Christian Walton","1995-11-09"
"Mark Diemers","1993-10-11"
"Sergi Palencia Hurtado","1996-03-23"
"Durval Murilo Dutría Pereira","1992-02-29"
"Christopher Antwi-Adjej","1994-02-07"
"Mauro Alberto Díaz","1991-03-10"
"Youssoufou Niakaté","1992-12-16"
"Gastón Nicolás Reniero","1995-03-18"
"Brayan Alexis Angulo León","1989-11-02"
"Bartolomé Nadal Mesquida","1989-02-08"
"Ivo Daniel Ferreira Mendonça Pinto","1990-01-07"
"Jordon Ibe","1995-12-08"
"Judilson Mamadu Tuncará Gomes","1991-09-29"
"Emmanouil Siopis","1994-05-14"
"Marko Jevtović","1993-07-24"
"António Manuel Pereira Xavier","1992-07-06"
"Deiverson Breno Kaio de Freitas","1984-02-29"
"José Joaquín Martínez Valadez","1987-02-22"
"Avilés Hurtado Herrera","1987-04-20"
"Zsolt Kalmár","1995-06-09"
"Mario Vrančić","1989-05-23"
"Kingsley Schindler","1993-07-12"
"Brahian Milton Alemán Athaydes","1989-12-23"
"Rubén Pardo Gutiérrez","1992-10-22"
"Djamel Eddine Benlamri","1989-12-25"
"Gustavo Adrián Ramos Vásquez","1986-01-22"
"Oğulcan Çağlayan","1996-03-22"
"Oussama Haddadi","1992-01-28"
"Nikola Storm","1994-09-30"
"Raúl Manolo Gudiño Vega","1996-04-22"
"Alberto de la Bella Madureño","1985-12-02"
"Bobby De Cordova-Reid","1993-02-02"
"Emmanuel García Vaca","1989-12-28"
"Salih Uçan","1994-01-06"
"Mauricio Leonel Martínez","1993-02-20"
"Luis Gustavo Melere da Silva","1991-03-10"
"Demba Ba","1985-05-25"
"Jamilu Collins","1994-08-05"
"Thomas Kaminski","1992-10-23"
"Patrick Farkas","1992-09-09"
"Lukas Hinterseer","1991-03-28"
"Cristian Chagas Tarouco","1988-03-12"
"Arsénio Martins Lafuente Nunes","1989-08-30"
"Aílton Ferreira Silva","1995-03-16"
"Marco Mancosu","1988-08-22"
"Philipp Wiesinger","1994-05-23"
"Paul Lasne","1989-01-16"
"Marlon Javier Piedrahita Londoño","1985-06-13"
"Víctor Hugo Ayala Núñez","1988-01-01"
"Sebastião de Freitas Couto Júnior","1992-06-08"
"Nicolás Pasquini","1991-01-02"
"Fernando Henrique Boldrin","1989-02-23"
"Fidel Chaves de la Torre","1989-10-27"
"Antonio Manuel Luna Rodríguez","1991-03-17"
"Ahmed Naser Mahmoud Al Shenawy","1991-05-14"
"Marco André Rocha Pereira","1987-01-12"
"Collins Ngoran Suiru Fai","1992-08-13"
"Omar Maher Khribin","1994-01-15"
"Leandre Geal Tawamba Kana","1989-12-20"
"Fabien Lemoine","1987-03-16"
"Fernando Torrent Guidi","1991-10-02"
"Antonino Ragusa","1990-03-27"
"Mahmoud Alaa Eldin","1991-01-28"
"Bertrand Yves Baraye","1992-06-22"
"Anderson Esiti","1994-05-24"
"Paolito Jesus Serra Fonseca","1992-02-29"
"Duško Tošić","1985-01-19"
"Thulani Caleeb Serero","1990-04-11"
"Tiago Rafael Maia da Silva","1993-06-02"
"Stefan Mugoša","1992-02-26"
"Jonathan Hogg","1988-12-06"
"Lewis Harry Holtby","1990-09-18"
"Hussein El Shahat","1992-06-21"
"Franco Soldano","1994-09-14"
"Stefano Magnasco Galindo","1992-09-28"
"曹赟定","1989-11-22"
"Lucas Ezequiel Piovi","1992-08-20"
"Alessandro Schöpf","1994-02-07"
"Diogo Filipe Rocha Costa","1995-05-03"
"Stanislav Iljutcenko","1990-08-13"
"Stelios Kitsiou","1993-09-28"
"Víctor Yoshimar Yotún Flores","1990-04-07"
"Gyasi Zardes","1991-09-02"
"Walter Ariel Bou","1993-08-25"
"Ladislav Krejčí","1992-07-05"
"José Carlos Lazo Romero","1996-02-16"
"Jordan Rolly Botaka","1993-06-24"
"Noah Joel Sarenren Bazee","1996-08-21"
"Saido Berahino","1993-08-04"
"Enzo Pablo Roco Roco","1992-08-16"
"James Robert Holland","1989-05-15"
"Alejandro Arribas Garrido","1989-05-01"
"Jony Allison Reitosa Ribeiro","1992-02-29"
"Laureano Sanabria Ruiz","1985-03-22"
"Harlem-Eddy Gnohéré","1988-02-21"
"Jan Sýkora","1993-12-29"
"Jesús Miguel Soraire","1988-12-03"
"Alexander David González Sibulo","1992-09-13"
"Nicolás Blandi","1990-01-13"
"Jacob Murphy","1995-02-24"
"Lucas Alves de Araújo","1992-07-22"
"Orkan Çınar","1996-01-29"
"Santiago Comesaña Veiga","1996-10-05"
"Denis Odoi","1988-05-27"
"Lasse Sobiech","1991-01-18"
"Ahmad Benali","1992-02-07"
"Gideon Jung","1994-09-12"
"Alexis Pedro Canelo","1992-02-03"
"Sven van Beek","1994-07-28"
"Benjamin Leroy","1989-04-07"
"Soner Aydoğdu","1991-01-05"
"Joe Williams","1996-12-08"
"Nicolás Emanuel Fernández","1996-02-08"
"Aitor Cantalapiedra Fernández","1996-02-10"
"Jelle Vossen","1989-03-22"
"José Antonio Rodríguez Romero","1992-07-04"
"森重 真人","1987-05-21"
"Rodrigo Emanuel Cecchini","1996-12-24"
"Ilombé Mboyo","1987-04-27"
"Adam Davies","1992-07-17"
"Ricardo Gabriel Álvarez","1988-04-12"
"Morten Thorsby","1996-05-05"
"Víctor Emanuel Aguilera","1989-06-11"
"Héber Araújo dos Santos","1991-08-10"
"Jadson Cristiano Silva de Morais","1991-11-05"
"Diego Antonio Reyes Rosales","1992-09-19"
"Matt Miazga","1995-07-19"
"Philipp Hofmann","1993-03-30"
"Pieter Gerkens","1995-02-17"
"Sergiy Rybalka","1990-04-01"
"Damián Rodrigo Díaz","1986-05-01"
"Nelson Fernando Acevedo","1988-07-11"
"Jean Carlos de Souza Irmer","1994-09-26"
"Ján Greguš","1991-01-29"
"Karim Ansarifard","1990-04-03"
"Eric Joel Andersson","1996-11-11"
"Filip Kiss","1990-10-13"
"Jack Alexander Price","1992-12-19"
"Iver Fossum","1996-07-15"
"고요한 高约翰","1988-03-10"
"Loïck Landre","1992-05-05"
"Emiliano Daniel Velázquez Maldonado","1994-04-30"
"David González Giraldo","1982-07-20"
"Frank Thierry Boya","1996-07-01"
"Dennis Appiah","1992-06-09"
"Issam Chebake","1989-10-12"
"Sotirios Papagiannopoulos","1990-09-05"
"Jamie Paterson","1991-12-20"
"Chris Jörg Löwe","1989-04-16"
"Robert Leipertz","1993-02-01"
"Samir Memišević","1993-08-13"
"Steven Skrzybski","1992-11-18"
"Iago Azevedo dos Santos","1992-05-22"
"Kelvin Leerdam","1990-06-24"
"Nicolai Søberg Poulsen","1993-08-15"
"Elierce Barbosa de Souza","1988-03-08"
"曾诚","1987-01-08"
"Yussif Raman Chibsah","1993-03-10"
"Ricardo Jorge Pires Gomes","1991-12-18"
"Antonin Bobichon","1995-09-14"
"Ahmed Eissa El Mohamady Abdel Fattah","1987-09-09"
"Gustavo Lucas Domingues Piazón","1994-01-20"
"Guillermo Luis Ortíz","1992-08-09"
"Daniel Sánchez Ayala","1990-11-07"
"Jean-Daniel Akpa Akpro","1992-10-11"
"Eugeni Valderrama Domènech","1994-07-19"
"Domagoj Antolić","1991-06-30"
"Harold Fabián Preciado Villarreal","1994-06-01"
"Maxime Crépeau","1994-05-11"
"Khalid Eisa Mohamed Bilal Saeed","1989-09-15"
"Bart Schenkeveld","1991-08-28"
"David Leonardo Castro Cortés","1989-05-12"
"Dominic Iorfa","1995-06-24"
"古橋 亨梧","1995-01-20"
"Massimo Luongo","1992-09-25"
"Niko Gießelmann","1991-09-26"
"Aatif Chahechouhe","1986-07-02"
"Ilya Kutepov","1993-07-29"
"Juan Carlos Pérez López","1990-03-30"
"Franco Matías Di Santo","1989-04-07"
"Carlos Alberto Carvalho da Silva Júnior","1995-08-15"
"Yonathan Emanuel Cabral","1992-05-10"
"Ronald Alberto Matarrita Ulate","1994-07-09"
"Romario Sandu Benzar","1992-03-26"
"Marvin Zeegelaar","1990-08-12"
"Alex Pritchard","1993-05-03"
"Romain Philippoteaux","1988-03-02"
"Nemanja Miletić","1991-01-16"
"Francisco Oliveira Geraldes","1995-04-18"
"Fabián Larry Estoyanoff Poggio","1982-09-27"
"Willard Katsande","1986-01-15"
"Daniel Pedro Calvo San Román","1994-04-01"
"Jairo Samperio Bustara","1993-07-11"
"Diego Farías da Silva","1990-05-10"
"Greg Cunningham","1991-01-31"
"Joachim Van Damme","1991-07-23"
"Brayan Josué Cortés Fernández","1995-05-29"
"Alexander Walke","1983-06-06"
"Christian Benteke Liolo","1990-12-03"
"Bart Ramselaar","1996-06-29"
"Jonathan Alexis Sandoval Rojas","1987-06-25"
"Driss Fettouhi","1989-09-30"
"Eugenio Lamanna","1989-08-07"
"Kadeem Harris","1993-06-08"
"Kasper Kusk Vangsgaard","1991-11-10"
"Federico Mattiello","1995-07-14"
"Marcel Risse","1989-12-17"
"Famara Diedhiou","1992-12-15"
"Luis Claudinei Peixoto Álvares","1996-02-29"
"Olcay Şahan","1987-05-26"
"Jorge Luís Valdivia Toro","1983-10-19"
"Mohamed Salim Fares","1996-02-15"
"Michael Nicolás Santos Rosadilla","1993-03-13"
"Alexander Fransson","1994-04-02"
"Francisco José Sánchez Rodríguez","1996-01-03"
"Andreas Christopher Linde","1993-07-24"
"Ismael Tajouri-Shradi","1994-03-28"
"Slobodan Rajković","1989-02-03"
"Johan Larsson","1990-05-05"
"김승대 金承大","1991-04-01"
"Vladimir Javier Hernández Rivero","1989-04-23"
"Josh Cullen","1996-04-07"
"José Antonio Morente Oliva","1996-12-04"
"Benoît Guy Jean Poulain","1987-07-24"
"김영권 金英权","1990-02-27"
"André Filipe Ferreira Coelho Pereira","1995-05-05"
"Nicușor Silviu Bancu","1992-09-18"
"Rob Schoofs","1994-03-23"
"Marcel Sobottka","1994-04-25"
"Joel Chukwuma Obi","1991-05-22"
"Jonathan Mensah","1990-07-13"
"Bruno Martella","1992-08-14"
"Mattia Destro","1991-03-20"
"Marco Calderoni","1989-02-18"
"Matías Britos Cardoso","1988-11-26"
"Paul-Georges Ntep de Madiba","1992-07-29"
"Saúl García Cabrero","1994-11-09"
"Marcelo Javier Cabrera Rivero","1992-03-18"
"Eulânio Ângelo Chipela Gomes","1994-05-17"
"Dušan Kuciak","1985-05-21"
"Luciano Andrés Abecasis","1990-06-04"
"Felix Wiedwald","1990-03-15"
"김태환 金泰万","1989-07-24"
"Andreas Beyer Maxsø","1994-03-18"
"佐々木 翔","1989-10-02"
"Juan José Nieto Zarzoso","1994-10-03"
"Michal Trávník","1994-05-17"
"Ludovic Butelle","1983-04-03"
"Janusz Krzysztof Gol","1985-11-11"
"Anthony Weber","1987-06-11"
"Felipe Gedoz da Conceição","1993-07-12"
"Otar Kiteishvili","1996-03-26"
"Marcel Schuhen","1993-01-13"
"Júnior Nazareno Sornoza Moreira","1994-01-28"
"Juan Manuel García","1992-11-14"
"Jorge Antonio Flores Villafaña","1989-09-16"
"Edigar Junio Teixeira Lima","1991-05-06"
"킴진수 金珍洙","1992-06-13"
"Alberto Cerri","1996-04-16"
"Luis Fernando Fuentes Vargas","1986-09-14"
"Diego Fabián Polenta Musetti","1992-02-06"
"Yassin Ayoub","1994-03-06"
"Carlos Alberto Cáceda Oyaguez","1991-09-27"
"Pablo Ínsua Blanco","1993-09-09"
"Álejandro Gallar Falguero","1992-03-19"
"江坂 任","1992-05-31"
"Yoane Wissa","1996-09-03"
"Adrian Grbić","1996-08-04"
"Xavier Torres Buigues","1986-11-21"
"Osvaldo David Martínez Arce","1986-04-08"
"Ahmed Sayed","1996-01-10"
"Ludovic Baal","1986-05-24"
"Marcelo Cirino da Silva","1992-01-22"
"Alberto Guitián Ceballos","1990-07-29"
"Cyrus Christie","1992-09-30"
"Robert Žulj","1992-02-05"
"Mark-Anthony Kaye","1994-12-02"
"Mathieu Coutadeur","1986-03-20"
"Brown Ideye Aide","1988-10-10"
"Christian Clemens","1991-08-04"
"Luca Rossettini","1985-05-09"
"Gaëtan Belaud","1986-09-16"
"Miguel Ángel Barbieri","1993-08-24"
"Nemanja Nikolić","1987-12-31"
"Leandro Luis Desábato","1990-03-30"
"Stipe Perica","1995-07-07"
"Ricardo Lopes Pereira","1990-10-28"
"Gil Bastião Dias","1996-09-28"
"Pierre-Yves Hamel","1994-02-03"
"Per Karlsson","1986-01-02"
"Damir Kreilach","1989-04-16"
"Luiz Fernando da Silva Monte","1991-04-14"
"Cristian Anderson Penilla Caicedo","1991-05-02"
"Philipp Kühn","1992-09-02"
